SCATNUM	PREYSP	FO_OT.BK	FO_OTHER	DATE	Year
SMI00-001	UNKIDC	1	0	7/25/2006	2006
SMI00-003	ENGMOR	1	1	7/25/2006	2006
SMI00-004	SYMCAL	1	0	7/25/2006	2006
SMI00-010	ENGMOR	1	0	8/4/2000	2000
SMI00-013	MERPRO	0	1	8/4/2000	2000
SMI00-016	LOLOPA	1	0	8/4/2000	2000
SMI01-167	OCTRUB	1	0	8/4/2000	2000
SMI01-012	NOTIDF	0	1	8/4/2000	2000
SMI01-030	LOLOPA	1	0	8/4/2000	2000
SMI01-032	ENGMOR	0	1	8/4/2000	2000
SMI01-038	ENGMOR	1	1	8/4/2000	2000
SMI01-046	OCTRUB	1	0	8/4/2000	2000
SMI01-052	MERPRO	1	1	8/4/2000	2000
SMI02-133	LOLOPA	1	0	8/4/2000	2000
SMI02-137	MERPRO	0	1	8/4/2000	2000
SMI02-008	OCTRUB	1	0	8/4/2000	2000
SMI02-012	LOLOPA	1	0	8/4/2000	2000
SMI02-014	MERPRO	0	1	8/4/2000	2000
SMI02-018	LOLOPA	1	0	8/4/2000	2000
SMI03-018	STELEU	1	0	8/4/2000	2000
SMI03-019	NOTIDF	1	0	8/4/2000	2000
SMI03-022	LEUSTI	1	0	8/4/2000	2000
SMI03-023	LOLOPA	1	0	8/4/2000	2000
SMI03-024	GOTSPP	1	0	8/4/2000	2000
SMI03-025	COLSAI	0	1	8/4/2000	2000
SMI03-035	NOTIDF	0	1	8/4/2000	2000
SMI03-036	ENGMOR	1	1	8/4/2000	2000
SMI03-037	COLSAI	0	1	8/4/2000	2000
SMI03-038	MERPRO	0	1	8/4/2000	2000
SMI03-039	LOLOPA	1	0	8/4/2000	2000
SMI03-040	ONYBOR	1	0	8/4/2000	2000
SMI03-041	MERPRO	0	1	8/4/2000	2000
SMI03-042	SYMCAL	1	0	8/4/2000	2000
SMI03-043	TARCRE	1	0	8/4/2000	2000
SMI03-044	OCTRUB	1	0	8/4/2000	2000
SMI03-045	LOLOPA	1	0	8/4/2000	2000
SMI03-046	ONYBOR	1	0	8/4/2000	2000
SMI03-047	MERPRO	1	1	8/4/2000	2000
SMI03-048	ENGMOR	1	1	8/4/2000	2000
SMI03-050	LOLOPA	1	0	8/4/2000	2000
SMI03-052	MERPRO	1	1	8/4/2000	2000
SMI03-054	TRASYM	1	0	8/4/2000	2000
SMI03-056	OCTRUB	1	0	8/4/2000	2000
SMI03-057	LOLOPA	1	0	8/4/2000	2000
SMI03-058	UNKIDC	1	0	8/4/2000	2000
SMI03-059	UNKIDF	1	0	8/4/2000	2000
SMI03-061	SEBSPP	1	0	8/4/2000	2000
SMI03-063	UNKIDF	1	0	8/4/2000	2000
SMI03-064	LOLOPA	1	0	8/4/2000	2000
SMI03-065	ENGMOR	1	1	8/4/2000	2000
SMI03-066	COLSAI	0	1	8/4/2000	2000
SMI03-067	LOLOPA	1	0	8/4/2000	2000
SMI03-068	NOTIDF	0	1	8/4/2000	2000
SMI03-070	LOLOPA	1	0	8/4/2000	2000
SMI03-074	MERPRO	0	1	8/4/2000	2000
SMI03-075	LOLOPA	1	0	8/4/2000	2000
SMI04-065	COLSAI	0	1	8/4/2000	2000
SMI04-070	NOTIDF	1	0	8/4/2000	2000
SMI04-073	LOLOPA	1	0	8/4/2000	2000
SMI04-080	ONYBOR	1	0	8/4/2000	2000
SMI04-082	MERPRO	1	1	8/4/2000	2000
SMI04-083	OCTRUB	1	0	8/4/2000	2000
SMI04-085	LOLOPA	1	0	8/4/2000	2000
SMI05-182	SEBSPP	1	0	8/4/2000	2000
SMI05-183	SYMCAL	1	0	8/4/2000	2000
SMI05-001	TARCRE	1	0	8/4/2000	2000
SMI05-002	LEUSTI	1	0	8/4/2000	2000
SMI05-003	MERPRO	0	1	8/4/2000	2000
SMI05-006	UNKIDC	1	0	8/4/2000	2000
SMI05-008	LEUSTI	1	0	8/4/2000	2000
SMI05-009	NOTIDF	0	1	8/4/2000	2000
SMI05-012	ONYBOR	1	0	8/4/2000	2000
SMI05-015	LOLOPA	1	0	9/4/2003	2003
SMI05-019	SARSAG	1	1	9/4/2003	2003
SMI05-021	SYMCAL	1	0	9/4/2003	2003
SMI05-022	SARSAG	0	1	10/1/2001	2001
SMI06-043	ENGMOR	0	1	10/1/2001	2001
SMI06-044	MERPRO	1	1	10/1/2001	2001
SMI06-045	LOLOPA	1	0	10/1/2001	2001
SMI06-046	NOTIDC	1	0	10/1/2001	2001
SMI06-047	MERPRO	1	1	10/1/2001	2001
SMI06-048	NOTIDC	1	0	10/1/2001	2001
SMI06-049	NOTIDF	0	1	10/1/2001	2001
SMI06-050	ONYBOR	1	0	10/1/2001	2001
SMI06-051	NOTIDF	1	0	10/1/2001	2001
SMI06-052	TRASYM	0	1	10/1/2001	2001
SMI06-054	NOTIDC	1	0	10/1/2001	2001
SMI06-055	OCTRUB	1	0	10/1/2001	2001
SMI06-056	MERPRO	0	1	10/1/2001	2001
SMI06-058	UNKIDF	0	1	10/1/2001	2001
SMI06-060	LOLOPA	1	0	10/1/2001	2001
SMI06-061	SYMCAL	1	0	10/1/2001	2001
SMI06-062	UNKIDF	0	1	10/1/2001	2001
SMI06-063	NOTIDC	1	0	10/1/2001	2001
SMI06-064	TARCRE	1	0	10/1/2001	2001
SMI06-065	NOTIDF	0	1	10/1/2001	2001
SMI06-066	ONYBOR	1	0	10/1/2001	2001
SMI06-067	LOLOPA	1	0	10/1/2001	2001
SMI06-068	UNKIDF	0	1	10/1/2001	2001
SMI06-069	NOTIDC	1	0	10/1/2001	2001
SMI06-070	NOTIDC	1	0	10/1/2001	2001
SMI05-004	NOTIDF	0	1	10/1/2001	2001
SMI05-007	OCTRUB	1	0	10/1/2001	2001
SMI98-019	ENGMOR	1	1	7/25/2006	2006
SMI01-042	MERPRO	1	0	7/25/2006	2006
SMI87-008	LOLOPA	1	0	7/25/2006	2006
SMI97-001	MERPRO	0	1	7/25/2006	2006
SMI97-014	ENGMOR	1	1	7/25/2006	2006
SMI98-019	LOLOPA	1	0	7/25/2006	2006
SMI01-170	MERPRO	0	1	7/25/2006	2006
SMI01-045	SARSAG	0	1	7/25/2006	2006
SMI01-051	ENGMOR	1	1	7/25/2006	2006
SMI01-053	NOTIDF	0	1	7/25/2006	2006
SMI02-132	MERPRO	0	1	7/25/2006	2006
SMI02-013	SARSAG	0	1	7/25/2006	2006
SMI02-020	ENGMOR	1	1	7/25/2006	2006
SMI03-045	NOTIDC	1	0	7/25/2006	2006
SMI03-046	ENGMOR	1	1	7/25/2006	2006
SMI03-059	NOTIDF	0	1	7/25/2006	2006
SMI03-066	NOTIDC	1	0	7/25/2006	2006
SMI04-064	ENGMOR	1	1	7/25/2006	2006
SMI04-065	SARSAG	0	1	7/25/2006	2006
SMI04-076	LOLOPA	1	0	7/25/2006	2006
SMI05-184	ENGMOR	1	1	7/25/2006	2006
SMI98-017	SARSAG	0	1	7/25/2006	2006
SMI98-019	ENGMOR	0	1	7/25/2006	2006
SMI00-008	SARSAG	0	1	7/25/2006	2006
SMI01-166	MERPRO	0	1	7/25/2006	2006
SMI01-042	MERPRO	1	1	7/25/2006	2006
SMI01-054	ENGMOR	1	1	7/25/2006	2006
SMI02-136	NOTIDC	1	0	7/25/2006	2006
SMI02-138	MERPRO	1	0	7/25/2006	2006
SMI04-076	SARSAG	0	1	7/25/2006	2006
SMI06-043	ENGMOR	1	1	7/25/2006	2006
SMI05-018	ENGMOR	1	1	7/25/2006	2006
SMI01-042	ENGMOR	1	1	7/25/2006	2006
SMI93-516	NOTIDF	1	0	7/25/2006	2006
SMI93-517	MERPRO	0	1	7/25/2006	2006
SMI93-526	SARSAG	0	1	7/25/2006	2006
SMI93-530	NOTIDC	1	0	7/25/2006	2006
SMI97-002	ENGMOR	1	1	7/25/2006	2006
SMI97-016	MERPRO	1	1	7/25/2006	2006
SMI98-003	COTSPP	1	0	7/25/2006	2006
SMI98-016	ENGMOR	1	1	7/25/2006	2006
SMI98-017	NOTIDF	0	1	7/25/2006	2006
SMI98-018	NOTIDF	1	0	10/1/2001	2001
SMI98-019	ENGMOR	0	1	10/1/2001	2001
SMI98-022	LOLOPA	1	0	10/1/2001	2001
SMI98-026	UNKIDC	0	0	10/1/2001	2001
SMI98-038	ENGMOR	1	0	10/1/2001	2001
SMI00-008	NOTIDF	1	0	10/1/2001	2001
SMI00-021	MERPRO	0	1	10/1/2001	2001
SMI00-022	NOTIDC	1	0	10/1/2001	2001
SMI01-166	NOTIDF	0	1	10/1/2001	2001
SMI01-172	ONYBOR	1	0	10/1/2001	2001
SMI02-017	NOTIDC	1	0	10/1/2001	2001
SMI04-065	NOTIDF	0	1	10/1/2001	2001
SMI04-076	MERPRO	1	0	10/1/2001	2001
SMI04-082	NOTIDC	1	0	10/1/2001	2001
SMI05-009	NOTIDF	0	1	10/1/2001	2001
SMI05-015	UNKIDC	0	0	10/1/2001	2001
SMI05-022	ENGMOR	1	0	10/1/2001	2001
SMI87-001	ONYBOR	1	0	10/1/2001	2001
SMI87-002	LOLOPA	1	0	10/1/2001	2001
SMI87-003	COLSAI	0	1	10/1/2001	2001
SMI87-004	UNKIDF	0	1	10/1/2001	2001
SMI87-006	LOLOPA	1	0	10/1/2001	2001
SMI87-007	NOTIDF	0	1	10/1/2001	2001
SMI87-010	NOTIDF	1	1	10/1/2001	2001
SMI97-001	SYMCAL	1	0	10/1/2001	2001
SMI97-006	MERPRO	0	0	10/1/2001	2001
SMI97-008	COLSAI	0	1	10/1/2001	2001
SMI97-009	GOTSPP	1	0	10/1/2001	2001
SMI97-011	HISHOY	1	0	10/1/2001	2001
SMI98-015	GONSPP	1	0	10/1/2001	2001
SMI98-021	NOTIDF	0	1	10/1/2001	2001
SMI98-022	NOTIDC	1	0	10/1/2001	2001
SMI98-025	TARCRE	1	0	10/1/2001	2001
SMI98-032	NOTIDF	0	1	10/1/2001	2001
SMI00-001	OCTRUB	1	0	10/1/2001	2001
SMI00-002	LOLOPA	1	0	10/1/2001	2001
SMI00-005	GONSPX	1	0	10/1/2001	2001
SMI00-006	UNKIDC	1	0	10/1/2001	2001
SMI00-007	ENGMOR	1	0	10/1/2001	2001
SMI00-008	SEBSPP	1	0	10/1/2001	2001
SMI00-010	LOLOPA	1	0	10/1/2001	2001
SMI00-011	NOTIDF	1	0	10/1/2001	2001
SMI00-013	STELEU	1	0	10/1/2001	2001
SMI00-014	SYMCAL	1	0	10/1/2001	2001
SMI00-015	TARCRE	1	0	10/1/2001	2001
SMI00-016	NOTIDF	0	1	10/1/2001	2001
SMI00-017	ATHAFF	1	0	10/1/2001	2001
SMI00-018	LOLOPA	1	0	10/1/2001	2001
SMI00-019	NOTIDC	1	0	10/1/2001	2001
SMI00-020	ABRFEL	1	0	10/1/2001	2001
SMI00-026	NOTIDF	0	1	10/1/2001	2001
SMI00-028	LOLOPA	1	0	10/1/2001	2001
SMI00-029	NOTIDF	0	1	10/1/2001	2001
SMI00-030	COLSAI	0	1	10/1/2001	2001
SMI01-167	GONSPX	1	0	10/1/2001	2001
SMI01-168	OCTRUB	1	0	10/1/2001	2001
SMI01-169	LOLOPA	1	0	10/1/2001	2001
SMI01-170	MERPRO	0	1	10/1/2001	2001
SMI01-173	NOTIDF	0	0	10/1/2001	2001
SMI01-175	ENGMOR	0	1	10/1/2001	2001
SMI01-178	LOLOPA	1	0	10/1/2001	2001
SMI01-012	MERPRO	1	1	10/1/2001	2001
SMI01-016	OCTRUB	1	0	10/1/2001	2001
SMI01-020	GONSPX	1	0	10/1/2001	2001
SMI01-030	LOLOPA	1	0	10/1/2001	2001
SMI01-038	NOTIDF	0	1	10/1/2001	2001
SMI01-039	GOTSPP	1	0	10/1/2001	2001
SMI01-045	LOLOPA	1	0	10/1/2001	2001
SMI01-046	LOLOPA	1	0	10/1/2001	2001
SMI01-048	MERPRO	0	1	7/24/2005	2005
SMI01-049	NOTIDF	0	1	7/24/2005	2005
SMI01-051	ONYBOR	1	0	7/24/2005	2005
SMI01-052	MERPRO	1	1	7/24/2005	2005
SMI01-053	SEBSPP	1	0	7/24/2005	2005
SMI01-054	ENGMOR	1	1	7/24/2005	2005
SMI01-055	NOTIDC	1	0	7/24/2005	2005
SMI02-126	OCTRUB	1	0	7/24/2005	2005
SMI02-129	LOLOPA	1	0	7/24/2005	2005
SMI02-132	SARSAG	1	1	7/24/2005	2005
SMI02-133	ENGMOR	1	1	7/24/2005	2005
SMI02-134	LEUSTI	1	0	7/24/2005	2005
SMI02-135	TARCRE	1	0	7/24/2005	2005
SMI02-136	STELEU	1	0	7/24/2005	2005
SMI02-137	NOTIDC	1	0	7/24/2005	2005
SMI02-138	MERPRO	1	0	9/1/2001	2001
SMI02-139	NOTIDF	1	0	9/1/2001	2001
SMI02-004	STELEU	1	0	9/1/2001	2001
SMI02-006	TARCRE	1	0	9/1/2001	2001
SMI02-007	SYMCAL	1	0	9/1/2001	2001
SMI02-008	OCTRUB	1	0	9/1/2001	2001
SMI02-009	ONYBOR	1	0	9/1/2001	2001
SMI02-010	LEUSTI	1	0	9/1/2001	2001
SMI02-012	GOTSPP	1	0	9/1/2001	2001
SMI02-013	SARSAG	0	1	9/1/2001	2001
SMI02-016	ENGMOR	1	1	9/1/2001	2001
SMI02-017	MERPRO	0	1	9/1/2001	2001
SMI02-018	LOLOPA	1	0	9/1/2001	2001
SMI02-020	UNKIDC	0	1	9/1/2001	2001
SMI03-020	LOLOPA	1	0	9/1/2001	2001
SMI03-022	COLSAI	0	1	9/1/2001	2001
SMI03-023	NOTIDF	0	1	9/1/2001	2001
SMI03-024	LOLOPA	1	0	9/1/2001	2001
SMI03-025	UNKIDC	0	1	9/1/2001	2001
SMI03-027	LOLOPA	1	0	9/1/2001	2001
SMI03-035	GONSPX	1	0	9/1/2001	2001
SMI03-039	SYMCAL	1	0	9/1/2001	2001
SMI03-040	TARCRE	1	0	9/1/2001	2001
SMI03-044	MYCSPP	1	0	9/1/2001	2001
SMI03-045	LEUSTI	1	0	9/1/2001	2001
SMI03-046	UNKIDF	0	1	9/1/2001	2001
SMI03-048	LOLOPA	1	0	9/1/2001	2001
SMI03-051	NOTIDC	1	0	9/1/2001	2001
SMI03-053	MERPRO	1	0	9/1/2001	2001
SMI03-054	UNKIDF	0	1	9/1/2001	2001
SMI03-058	LOLOPA	1	0	9/1/2001	2001
SMI03-060	MERPRO	1	1	9/1/2001	2001
SMI03-061	NOTIDF	0	1	9/1/2001	2001
SMI03-062	LOLOPA	1	0	9/1/2001	2001
SMI03-063	MERPRO	0	1	9/1/2001	2001
SMI03-066	NOTIDF	0	1	9/1/2001	2001
SMI03-067	MERPRO	0	1	9/1/2001	2001
SMI03-068	UNKIDF	0	1	9/1/2001	2001
SMI03-074	NOTIDC	0	1	7/28/2002	2002
SMI03-075	NOTIDF	0	1	7/28/2002	2002
SMI04-065	SYMCAL	1	0	7/28/2002	2002
SMI04-082	ONYBOR	1	0	7/28/2002	2002
SMI05-182	COLSAI	1	0	7/28/2002	2002
SMI05-183	NOTIDF	0	1	7/28/2002	2002
SMI05-184	NOTIDC	0	1	7/28/2002	2002
SMI05-185	NOTIDF	0	1	7/28/2002	2002
SMI05-187	OCTRUB	1	0	7/28/2002	2002
SMI05-002	LOLOPA	1	0	7/28/2002	2002
SMI05-005	MERPRO	0	1	7/28/2002	2002
SMI05-008	NOTIDF	0	1	7/28/2002	2002
SMI05-015	MERPRO	1	0	7/28/2002	2002
SMI05-018	SEBSPP	1	0	7/28/2002	2002
SMI05-021	LOLOPA	1	0	7/28/2002	2002
SMI06-051	ONYBOR	1	0	7/28/2002	2002
SMI06-052	MERPRO	0	1	7/28/2002	2002
SMI06-054	LOLOPA	1	0	7/28/2002	2002
SMI06-056	ONYBOR	1	0	7/28/2002	2002
SMI06-057	ENGMOR	1	1	7/28/2002	2002
SMI06-063	LOLOPA	1	0	7/28/2002	2002
SMI87-001	SEBSPP	1	0	7/28/2002	2002
SMI87-002	STELEU	1	0	7/28/2002	2002
SMI87-003	NOTIDF	0	1	7/28/2002	2002
SMI87-004	OCTRUB	1	0	7/28/2002	2002
SMI87-006	LOLOPA	1	0	7/28/2002	2002
SMI87-007	NOTIDC	1	0	7/28/2002	2002
SMI87-008	SARSAG	0	1	7/28/2002	2002
SMI87-009	MERPRO	0	1	7/28/2002	2002
SMI87-010	LOLOPA	1	0	7/28/2002	2002
SMI87-011	NOTIDC	0	1	7/28/2002	2002
SMI87-012	MERPRO	1	0	7/28/2002	2002
SMI87-013	SEBSPP	1	1	7/28/2002	2002
SMI87-014	ENGMOR	1	0	7/28/2002	2002
SMI87-018	LOLOPA	1	0	7/28/2002	2002
SMI93-517	MERPRO	1	1	7/28/2002	2002
SMI93-518	NOTIDF	0	1	7/28/2002	2002
SMI93-523	LOLOPA	1	0	7/28/2002	2002
SMI93-524	GONSPX	1	0	7/28/2002	2002
SMI93-526	ENGMOR	1	1	7/28/2002	2002
SMI93-530	UNKIDF	0	1	7/28/2002	2002
SMI93-531	NOTIDF	0	1	7/28/2002	2002
SMI97-002	OCTRUB	1	0	7/28/2002	2002
SMI97-004	NOTIDF	0	1	7/28/2002	2002
SMI97-005	UNKIDF	0	1	7/28/2002	2002
SMI98-006	LOLOPA	1	0	7/28/2002	2002
SMI98-008	OCTRUB	1	0	7/28/2002	2002
SMI98-012	MERPRO	1	0	7/28/2002	2002
SMI98-013	LEUSTI	1	0	7/28/2002	2002
SMI98-015	NOTIDF	0	1	7/28/2002	2002
SMI98-016	LOLOPA	1	0	7/28/2002	2002
SMI98-018	OCTRUB	1	0	7/28/2002	2002
SMI98-021	ENGMOR	1	0	7/28/2002	2002
SMI98-022	NOTIDF	0	1	7/28/2002	2002
SMI98-032	LOLOPA	1	0	7/28/2002	2002
SMI98-037	LOLOPA	1	0	7/28/2002	2002
SMI98-038	UNKIDC	0	1	7/28/2002	2002
SMI00-001	MERPRO	0	1	7/28/2002	2002
SMI00-005	UNKIDF	0	1	7/28/2002	2002
SMI00-006	COLSAI	0	1	7/28/2002	2002
SMI00-007	SYMCAL	1	0	7/28/2002	2002
SMI00-010	TARCRE	1	0	7/28/2002	2002
SMI00-011	NOTIDF	0	1	7/28/2002	2002
SMI00-013	LOLOPA	1	0	7/28/2002	2002
SMI00-014	OCTRUB	1	0	7/28/2002	2002
SMI00-018	GONSPX	1	0	7/28/2002	2002
SMI00-020	ONYBOR	1	0	7/28/2002	2002
SMI00-021	NOTIDF	0	1	7/28/2002	2002
SMI00-029	NOTIDF	0	1	7/28/2002	2002
SMI00-033	NOTIDF	0	1	7/28/2002	2002
SMI01-166	NOTIDC	1	0	7/28/2002	2002
SMI01-167	MERPRO	1	0	7/28/2002	2002
SMI01-175	NOTIDF	0	1	7/28/2002	2002
SMI01-176	SARSAG	0	1	7/28/2002	2002
SMI01-179	UNKIDF	0	1	7/28/2002	2002
SMI01-182	ENGMOR	0	1	9/4/2003	2003
SMI01-012	ENGMOR	0	1	9/4/2003	2003
SMI01-013	SARSAG	1	1	9/4/2003	2003
SMI01-016	ONYBOR	1	0	9/4/2003	2003
SMI01-032	LOLOPA	1	0	9/4/2003	2003
SMI01-035	SARSAG	0	1	9/4/2003	2003
SMI01-042	SARSAG	1	1	9/4/2003	2003
SMI01-052	LOLOPA	1	0	9/4/2003	2003
SMI01-053	SARSAG	1	1	9/4/2003	2003
SMI02-131	ENGMOR	1	1	9/4/2003	2003
SMI02-136	MERPRO	0	1	9/4/2003	2003
SMI02-004	PLESPP	0	1	9/4/2003	2003
SMI02-005	LOLOPA	1	0	9/4/2003	2003
SMI02-007	TRASYM	1	1	9/4/2003	2003
SMI02-010	MERPRO	1	1	9/4/2003	2003
SMI02-012	ENGMOR	1	1	9/4/2003	2003
SMI02-013	SARSAG	1	1	9/4/2003	2003
SMI02-017	LOLOPA	1	0	9/4/2003	2003
SMI02-019	ONYBOR	1	0	9/4/2003	2003
SMI02-024	ENGMOR	1	1	9/4/2003	2003
SMI03-022	SARSAG	1	1	9/4/2003	2003
SMI03-023	CITSTI	1	0	9/4/2003	2003
SMI03-045	LOLOPA	1	0	9/4/2003	2003
SMI03-047	ENGMOR	1	1	9/4/2003	2003
SMI03-048	SARSAG	1	1	9/4/2003	2003
SMI03-053	NOTIDF	1	0	9/4/2003	2003
SMI03-056	SARSAG	0	1	9/4/2003	2003
SMI03-058	LOLOPA	1	0	9/4/2003	2003
SMI03-059	SARSAG	1	1	9/4/2003	2003
SMI03-062	LOLOPA	1	0	9/4/2003	2003
SMI03-066	TRASYM	1	1	9/4/2003	2003
SMI03-067	ENGMOR	1	1	9/4/2003	2003
SMI03-074	SARSAG	1	1	9/4/2003	2003
SMI03-075	STELEU	1	0	9/4/2003	2003
SMI04-067	SARSAG	0	1	9/4/2003	2003
SMI04-069	ENGMOR	0	1	9/4/2003	2003
SMI04-070	SARSAG	1	1	9/4/2003	2003
SMI04-072	ENGMOR	1	1	9/4/2003	2003
SMI04-073	NOTIDF	1	0	9/4/2003	2003
SMI04-074	SARSAG	1	1	9/4/2003	2003
SMI04-079	ENGMOR	0	1	9/4/2003	2003
SMI04-082	TRASYM	1	1	9/4/2003	2003
SMI04-083	LOLOPA	1	0	9/4/2003	2003
SMI04-088	ENGMOR	1	1	9/4/2003	2003
SMI05-002	SARSAG	1	1	9/4/2003	2003
SMI05-003	SEBSPP	1	1	9/4/2003	2003
SMI05-005	NOTIDF	1	0	9/4/2003	2003
